block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
575;graph500_reference_bfs_sssp;graph_generator.h:36-40,csr_reference.c:93-93;0.0063706394284964;0.00999999884516;;;;;;;;
466;graph500_reference_bfs_sssp;sssp_reference.c:106-106;0.0063706394284964;0.00999999884516;;;;;;;;
1476;graph500_reference_bfs_sssp;splittable_mrg.c:201-201;0.0031853197142482;0.00499999942258;;;;;;;;
775;graph500_reference_bfs_sssp;validate.c:63-63;0.0031853197142482;0.00499999942258;;;;;;;;
1389;graph500_reference_bfs_sssp;graph_generator.c:146-146;0.0031853197142482;0.00499999942258;;;;;;;;
577;graph500_reference_bfs_sssp;csr_reference.c:51-53;0.0031853197142482;0.00499999942258;;;;;;;;
1405;graph500_reference_bfs_sssp;graph_generator.c:92-92,graph_generator.c:98-100,graph_generator.c:132-135;0.0031853197142482;0.00499999942258;;;;;;;;
624;graph500_reference_bfs_sssp;graph_generator.h:36-40,csr_reference.c:167-167;0.0031853197142482;0.00499999942258;;;;;;;;
625;graph500_reference_bfs_sssp;csr_reference.c:164-164;0.0031853197142482;0.00499999942258;;;;;;;;
1412;graph500_reference_bfs_sssp;graph_generator.c:153-153;0.0031853197142482;0.00499999942258;;;;;;;;
883;graph500_reference_bfs_sssp;validate.c:169-169;0.0031853197142482;0.00499999942258;;;;;;;;
503;graph500_reference_bfs_sssp;sssp_reference.c:154-154;0.0031853197142482;0.00499999942258;;;;;;;;
